Nazev;Cena [Kè];Kapacita [GB];Kè/TB;Popis;URL
WD Ultrastar DC HC310 7K6 4TB;4268,00;4000,00;1067,00;"Interní HDD / Kapacita 4000 GB / 7 200 otáèek / Cache 256 MB / Specifikace SCSI / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / JBOD, NCQ, RAID, RoHS / Kov / Záruka 60 mìsícù";https://www.mironet.cz/wd-ultrastar-dc-hc310-7k6-4tb-hdd-35quot-sas-12gbs-7-200-rpm-512e-se-p3-256mb-cache-pro-nas+dp442480/
SEAGATE Exos Enterprise 2TB;3302,00;2000,00;1651,00;"Interní HDD / Kapacita 2000 GB / 7 200 otáèek / Cache 256 MB / Specifikace SCSI / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Advanced Format, JBOD, NCQ, RAID, RoHS / Kov / MTBF 2000000 hodin / Záruka 60 mìsícù";https://www.mironet.cz/seagate-exos-enterprise-2tb-interni-35quot-sas-iii-256mb-cache-7200rpm-5y+dp443241/
WD Ultrastar DC HC510 (He10) 10TB;6960,00;10000,00;696,00;"Interní HDD / Kapacita 10000 GB / 7 200 otáèek / Cache 256 MB / Specifikace SCSI / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Advanced Format, NCQ, RAID, RoHS / Kov / Záruka 60 mìsícù";https://www.mironet.cz/wd-ultrastar-dc-hc510-he10-10tb-hdd-35quot-sas-iii-7200-rpm-256mb-cache-512e-5y+dp443255/
Seagate Exos 7E8 512n HDD 4TB;4587,00;4000,00;1146,75;"Interní HDD / Kapacita 4000 GB / 7 200 otáèek / Cache 256 MB / Specifikace SCSI / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Advanced Format, JBOD, NCQ, RAID, RoHS / Kov / MTBF 2000000 hodin / Záruka 60 mìsícù";https://www.mironet.cz/seagate-exos-7e8-512n-hdd-4tb-interni-35quot-sas-iii-256mb-cache-7200rpm-5y+dp450707/
DELL server 2TB;5781,00;2000,00;2890,50;"Interní HDD / Kapacita 2000 GB / 7 200 otáèek / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s)";https://www.mironet.cz/dell-server-2tb-sas-12gbps-7200-rpm-35quot-pro-poweredge-r220-r230-r240-r330-r430-t110-ii-t130-t140-t430+dp457073/
Seagate Exos X16 14TB SAS;8901,00;14000,00;635,79;"Interní HDD / Kapacita 14000 GB / 7 200 otáèek / Cache 256 MB / Specifikace AHCI / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Advanced Format, JBOD, NCQ, RAID, RoHS / Kov / Záruka 60 mìsícù";https://www.mironet.cz/seagate-exos-x16-14tb-sas-hdd-35quot-sas-12gbs-7-200-rpm-256mb-cache-5y+dp470253/
WD Ultrastar DC HC550 18TB;10133,00;18000,00;562,94;"Interní HDD / Kapacita 18000 GB / 7 200 otáèek / Cache 512 MB / Specifikace AHCI / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Advanced Format, JBOD, NCQ, RAID, RoHS / Kov / Záruka 60 mìsícù";https://www.mironet.cz/wd-ultrastar-dc-hc550-18tb-hdd-35quot-sas-iii-7-200-rpm-512mb-cache-5y-pro-datova-centra+dp477726/
Seagate Exos X16 10TB SAS;7485,00;10000,00;748,50;"Interní HDD / Kapacita 10000 GB / 7 200 otáèek / Cache 256 MB / Specifikace AHCI / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Advanced Format, JBOD, NCQ, RAID, RoHS / Kov / MTBF 2500000 hodin / Záruka 60 mìsícù";https://www.mironet.cz/seagate-exos-x16-10tb-sas-hdd-35quot-sas-iii-7-200-rpm-256mb-cache-5y+dp477931/
Seagate Exos X16 12TB SAS;9770,00;12000,00;814,17;"Interní HDD / Kapacita 12000 GB / 7 200 otáèek / Cache 256 MB / Specifikace AHCI / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Advanced Format, JBOD, NCQ, RAID, RoHS / Kov / MTBF 2500000 hodin / Záruka 60 mìsícù";https://www.mironet.cz/seagate-exos-x16-12tb-sas-hdd-35quot-sas-iii-7-200-rpm-256mb-cache-5y+dp477934/
Seagate Exos X18 18TB SAS;11151,00;18000,00;619,50;"Interní HDD / Kapacita 18000 GB / 7 200 otáèek / Cache 256 MB / Specifikace AHCI / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Advanced Format, JBOD, NCQ, RAID, RoHS / Kov / MTBF 2500000 hodin / Záruka 60 mìsícù";https://www.mironet.cz/seagate-exos-x18-18tb-sas-hdd-35quot-sas-iii-7-200-rpm-256mb-cache-5y+dp477936/
DELL server 4TB;7551,00;4000,00;1887,75;"Interní HDD / Kapacita 4000 GB / 7 200 otáèek / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Kov / Záruka 24 mìsícù";https://www.mironet.cz/dell-server-4tb-35quot-nlsas-7200-rpm-hotplug-pro-poweredge-r240-r340-r440-r540-r640-r740xd+dp478434/
HP Enterprise 450GB;793,00;450,00;1762,22;"Interní HDD / Kapacita 450 GB / 15 000 otáèek / Specifikace SCSI / Formát Klasický - 3.5"" Interní / Rozhraní SAS I (3 Gbit/s) / Kov / Záruka 12 mìsícù";https://www.mironet.cz/hp-enterprise-450gb-35quot-15-000-rpm-3gbs-sas-hotswap-interni-refurbished+dp487424/
Seagate Exos X20 20TB;14425,00;20000,00;721,25;"Interní HDD / Kapacita 20000 GB / 7 200 otáèek / Cache 256 MB / Specifikace AHCI / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Advanced Format, JBOD, NCQ, RAID, RoHS / Kov / Záruka 60 mìsícù";https://www.mironet.cz/seagate-exos-x20-20tb-hdd-35quot-sas-12gbs-7-200-rpm-256mb-cache-5y+dp507735/
Seagate Exos 15E900 300GB;5423,00;300,00;18076,67;"Interní HDD / Kapacita 300 GB / 15 000 otáèek / Cache 256 MB / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Advanced Format, RAID / Kov / Záruka 60 mìsícù";https://www.mironet.cz/seagate-exos-15e900-300gb-hdd-35quot-sas-12gbs-512e-15-000-rpm-256mb-cache-5y+dp508823/
DELL server disk 8TB;10146,00;8000,00;1268,25;"Interní HDD / Kapacita 8000 GB / 7 200 otáèek / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Kov / Záruka 12 mìsícù";https://www.mironet.cz/dell-server-disk-8tb-hdd-35quot-sas-iii-7-200-rpm-poweredge-rt-r240-r340-r440-r540+dp514788/
